name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Aryabhata Datta,Production Supervisor,62,Operations,Director/Head,2.02,11.8,44,77,"Process Optimization and Efficiency} , {Supply Chain Management} , {Quality Control and Assurance} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Customer Focus} , {Strategic Thinking} , {Problem Solving and Decision Making} , {Risk Management} , {Continuous Improvement Mindset} , {Inventory Management} , {Time Management and Prioritization} , {Production Planning and Control} , {Communication and Collaboration} , {Lean Six Sigma} , {Adaptability and Flexibility",259000
Danveer Amin,Supply Chain Manager,87,Operations,Director/Head,1.93,12.8,68,79,"Supply Chain Management} , {Process Optimization and Efficiency} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Quality Control and Assurance} , {Strategic Thinking} , {Analytical Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Time Management and Prioritization} , {Leadership and Team Management} , {Inventory Management} , {Communication and Collaboration} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Production Planning and Control} , {Cost Analysis and Budgeting",335000
Ananya Dalal,Financial Controller,77,Finance and Accounting,Director/Head,1.2,10.1,8,48,"Ethical Conduct and Professionalism} , {Budgeting and Forecasting} , {Financial Modeling} , {Risk Management and Analysis} , {Attention to Detail} , {Cash Flow Management} , {Business Acumen and Strategic Thinking} , {Problem Solving and Decision Making} , {ERP (Enterprise Resource Planning) System Proficiency} , {Tax Planning and Compliance} , {Teamwork and Collaboration} , {Cost Accounting} , {Adaptability and Flexibility} , {Financial Statement Preparation} , {Communication and Presentation Skills} , {Analytical and Critical Thinking} , {Auditing and Internal Controls} , {Financial Analysis and Reporting} , {Continuous Learning and Keeping up with Regulatory Changes",161000
Angayarkanni Rana Verma,Call Center Supervisor,88,Customer Support,Director/Head,1.58,10.6,31,42,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Positive Attitude and Professionalism} , {Teamwork and Collaboration} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Conflict Resolution and Diplomacy} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",137000
Jayashree Khanna,Marketing Manager,94,Sales and Marketing,Manager/Supervisor,1.28,8.8,68,82,"Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making} , {Communication and Interpersonal Skills",221000
Amutha Deol,Brand Manager,79,Sales and Marketing,Manager/Supervisor,0.93,10.3,36,53,"Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",178000
Adhiraj Singh Khanna,Public Relations Specialist,94,Sales and Marketing,Manager/Supervisor,1.17,9.1,51,66,"Social Media Marketing} , {Market Research and Analysis} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Creativity and Innovation} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Problem Solving and Decision Making",142000
Banhi Malhotra,Regulatory Affairs Specialist,83,Legal and Compliance,Director/Head,1.51,10.3,46,87,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Time Management and Organization} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Attention to Detail} , {Teamwork and Collaboration} , {Data Privacy and Protection} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Adaptability and Flexibility} , {Corporate Governance",146000
Abhiraja Joshi Trivedi,Training and Development Manager,79,Human Resources (HR),Director/Head,1.92,10.6,54,31,"Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Communication and Interpersonal Skills} , {HR Compliance and Legal Knowledge} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management} , {Recruitment and Selection} , {Business Acumen and Strategic Thinking} , {Problem Solving and Decision Making} , {Conflict Resolution and Mediation} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Performance Management} , {Adaptability and Flexibility} , {Training and Development} , {Empathy and Emotional Intelligence} , {Compensation and Benefits Administration",160000
Drisana Thakur,Database Administrator,85,Information Technology (IT),Director/Head,1.75,14.3,112,84,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Communication and Collaboration} , {Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {Leadership and Team Management} , {Cloud Computing} , {Continuous Learning and Professional Development} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",214000
Devi Mukherjee,IT Manager,93,Information Technology (IT),Director/Head,1.43,13.9,76,79,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {IT Governance and Compliance} , {Cybersecurity and Data Protection} , {Continuous Learning and Professional Development",207000
Udayan Gill,Compliance Officer,83,Legal and Compliance,Manager/Supervisor,1.45,8.6,25,75,"Mergers and Acquisitions} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Teamwork and Collaboration} , {Data Privacy and Protection} , {Risk Assessment and Management} , {Ethical Conduct and Professionalism} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Adaptability and Flexibility} , {Corporate Governance",118000
Shantai Bakshi,Quality Control Analyst,92,Quality Assurance (QA),Director/Head,1.53,13.5,184,33,"Root Cause Analysis} , {Critical Thinking} , {Time Management and Organization} , {Test Planning and Execution} , {Regulatory Compliance} , {Attention to Detail} , {Defect Tracking and Management} , {Teamwork and Interpersonal Skills} , {Test Automation} , {Documentation and Standardization} , {Leadership and Mentoring} , {Risk Assessment and Mitigation} , {Statistical Process Control (SPC)} , {Adaptability and Flexibility} , {Continuous Learning and Quality Mindset",267000
Chaitali Malhotra Sethi,Auditor,80,Finance and Accounting,Manager/Supervisor,0.72,8.8,6,45,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Attention to Detail} , {Cash Flow Management} , {Budgeting and Forecasting} , {Ethical Conduct and Professionalism} , {Financial Analysis and Reporting} , {Financial Statement Preparation",134000
Lopa Patel,Customer Support Specialist,83,Customer Support,Director/Head,1.7,11.4,13,84,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Empathy and Customer Focus} , {Patience and Resilience} , {Time Management and Organization} , {Quality Assurance and Call Monitoring} , {Teamwork and Collaboration} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Conflict Resolution and Diplomacy} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",154000
Dayaram Agarwal,Tax Specialist,80,Finance and Accounting,Manager/Supervisor,0.6,10.8,3,73,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Modeling} , {Teamwork and Collaboration} , {Attention to Detail} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",154000
Simla Zacharia,Call Center Supervisor,91,Customer Support,Manager/Supervisor,1.11,8.6,16,51,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Empathy and Customer Focus} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Teamwork and Collaboration} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Communication and Active Listening} , {Communication Tools (e.g., Live Chat, Email)",112000
Ahalya Chatterjee Mukherjee,Warehouse Manager,77,Operations,Manager/Supervisor,0.81,8.5,27,43,"Process Optimization and Efficiency} , {Communication and Collaboration} , {Data Analysis and Reporting} , {Quality Control and Assurance} , {Strategic Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Negotiation and Conflict Resolution} , {Leadership and Team Management} , {Production Planning and Control} , {Time Management and Prioritization} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",208000
Chandrabha Malhotra,Logistics Coordinator,85,Operations,Manager/Supervisor,1.2,8.7,55,80,"Customer Focus} , {Quality Control and Assurance} , {Logistics and Transportation} , {Strategic Thinking} , {Analytical Thinking} , {Adaptability and Flexibility} , {Risk Management} , {Inventory Management} , {Time Management and Prioritization} , {Leadership and Team Management} , {Production Planning and Control} , {Communication and Collaboration} , {Lean Six Sigma} , {Problem Solving and Decision Making",140000
Deshad Gupta,Systems Analyst,53,Information Technology (IT),Manager/Supervisor,1.45,10.1,16,43,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Communication and Collaboration} , {Time Management and Organization} , {System Administration} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Cloud Computing} , {Continuous Learning and Professional Development} , {IT Project Management} , {Analytical and Data Interpretation Skills",146000
Dayanand Lal,Software Engineer,88,Information Technology (IT),Manager/Supervisor,1.45,10.5,30,37,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Programming and Software Development} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {Analytical and Data Interpretation Skills} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Continuous Learning and Professional Development",149000
Rajesh Parekh,Public Relations Specialist,75,Sales and Marketing,Manager/Supervisor,1.05,9.6,53,54,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Market Research and Analysis} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Leadership and Mentoring} , {Problem Solving and Decision Making",141000
Kash Acharya,Treasury Analyst,83,Finance and Accounting,Manager/Supervisor,1.38,8.4,2,44,"ERP (Enterprise Resource Planning) System Proficiency} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Attention to Detail} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Teamwork and Collaboration} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Problem Solving and Decision Making",133000
Darsh Parekh,Brand Manager,92,Sales and Marketing,Manager/Supervisor,0.77,9.7,69,76,"Relationship Building and Networking} , {Social Media Marketing} , {Sales Forecasting and Planning} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Pricing Strategies and Competitive Analysis} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Communication and Interpersonal Skills",178000
Janesh Pandey,Scrum Master,91,Project Management,Director/Head,1.97,14.3,98,64,"Project Monitoring and Control} , {Resource Allocation and Management} , {Stakeholder Engagement} , {Risk Management} , {Budgeting and Financial Management} , {Stakeholder Management} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Leadership and Team Management} , {Continuous Improvement and Learning} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",207000
Anura Khanna,Marketing Manager,94,Sales and Marketing,Manager/Supervisor,1.28,10.2,51,35,"Social Media Marketing} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",219000
Jarita Mehra Bhatia,Digital Marketer,93,Sales and Marketing,Entry Level/Junior,0.55,0.6,6,83,"Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Communication and Interpersonal Skills} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis",72000
Anila Khatri,Scrum Master,98,Project Management,Director/Head,1.9,11.4,116,77,"Quality Management} , {Project Monitoring and Control} , {Resource Allocation and Management} , {Continuous Improvement and Learning} , {Problem Solving and Decision Making} , {Project Planning and Scheduling} , {Risk Management} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Communication and Negotiation Skills} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Leadership and Team Management} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Change Management} , {Presentation and Public Speaking",180000
Sajan Kumar Singh,Recruitment Specialist,76,Human Resources (HR),Manager/Supervisor,1.12,11.4,15,96,"Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Adaptability and Flexibility} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {HR Compliance and Legal Knowledge} , {HR Analytics and Reporting} , {Performance Management} , {Problem Solving and Decision Making} , {Compensation and Benefits Administration",157000
Bharati Biswas,IT Support Specialist,83,Information Technology (IT),Manager/Supervisor,0.56,8.0,29,80,"IT Service Management} , {IT Risk Assessment and Mitigation} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {IT Governance and Compliance} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",139000
Anjay Bajwa,Software Engineer,89,Information Technology (IT),Manager/Supervisor,1.01,11.3,32,63,"IT Service Management} , {Time Management and Organization} , {Customer Service and Relationship Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Governance and Compliance} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Continuous Learning and Professional Development} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",158000
Jagachandra Patel Mehta,Compensation and Benefits Specialist,84,Human Resources (HR),Manager/Supervisor,0.92,10.4,16,57,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Training and Development} , {Employee Relations and Conflict Resolution} , {Adaptability and Flexibility} , {Ethical and Professional Conduct} , {Employee Engagement and Retention} , {HR Analytics and Reporting} , {Problem Solving and Decision Making} , {Compensation and Benefits Administration",141000
Shante Kapoor,Supply Chain Manager,91,Operations,Manager/Supervisor,0.51,9.3,43,42,"Process Optimization and Efficiency} , {Supply Chain Management} , {Quality Control and Assurance} , {Logistics and Transportation} , {Customer Focus} , {Strategic Thinking} , {Analytical Thinking} , {Continuous Improvement Mindset} , {Negotiation and Conflict Resolution} , {Leadership and Team Management} , {Inventory Management} , {Communication and Collaboration} , {Problem Solving and Decision Making} , {Production Planning and Control} , {Cost Analysis and Budgeting",279000
Tamia Sharma,Customer Support Specialist,92,Customer Support,Manager/Supervisor,0.53,11.8,12,97,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",141000
Chandaa Singh Ahuja,Web Developer,89,Information Technology (IT),Manager/Supervisor,0.55,9.0,31,71,"IT Service Management} , {Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {Analytical and Data Interpretation Skills} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Continuous Learning and Professional Development",144000
Agastya Dhawan,Customer Service Representative,77,Customer Support,Manager/Supervisor,1.07,11.0,5,48,"Continuous Learning and Skill Enhancement} , {Empathy and Customer Focus} , {Time Management and Organization} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Communication Tools (e.g., Live Chat, Email)",125000
Anjay Patel Mehta,Compliance Officer,80,Legal and Compliance,Manager/Supervisor,1.11,10.3,17,81,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Attention to Detail} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Corporate Governance",132000
Anupa Chowdhury,Account Manager,90,Sales and Marketing,Associate/Specialist,0.37,2.2,7,80,"Social Media Marketing} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Time Management and Prioritization} , {Pricing Strategies and Competitive Analysis} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making} , {Leadership and Mentoring",162000
Din Mehta,IT Manager,79,Information Technology (IT),Manager/Supervisor,1.36,10.2,51,30,"IT Risk Assessment and Mitigation} , {Programming and Software Development} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Governance and Compliance} , {Leadership and Team Management} , {Communication and Collaboration} , {Continuous Learning and Professional Development} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",144000
Tanaia Bhatt,Marketing Manager,77,Sales and Marketing,Mid-Level/Intermediate,0.15,5.3,20,56,"Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Time Management and Prioritization} , {Strategic Thinking and Planning} , {Pricing Strategies and Competitive Analysis} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",175000
Baasu Batra,Market Research Analyst,48,Sales and Marketing,Associate/Specialist,0.77,1.2,13,66,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Time Management and Prioritization} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",81000
Tanika Kumar,Marketing Manager,93,Sales and Marketing,Associate/Specialist,0.42,2.3,13,96,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Negotiation and Persuasion} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Customer Relationship Management (CRM)} , {Market Research and Analysis} , {Problem Solving and Decision Making",166000
Hanita Kumar Singh,Database Administrator,79,Information Technology (IT),Manager/Supervisor,0.68,8.7,58,80,"Programming and Software Development} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Problem Solving and Critical Thinking} , {Analytical and Data Interpretation Skills} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Leadership and Team Management} , {Cybersecurity and Data Protection} , {Continuous Learning and Professional Development",142000
